Title, Year
"The Gay Sisters", 1942
"Gold Is Where You Find It", 1938
"The Old Maid", 1939
"Jezebel", 1938
"The Great Lie", 1941
"In This Our Life", 1942
"My Reputation", 1946
"Love Me or Leave Me", 1955
"Calamity Jane", 1953
"My Dream Is Yours", 1949
"Please Don't Eat the Daisies", 1960
"April in Paris", 1952
"Secret Enemies", 1942
"Don't Talk", 1942
"Action in Arabia", 1944
"Background to Danger", 1943
"Betrayed", 1954
"Above Suspicion", 1943
"Assignment in Brittany", 1943
"Sabotage Agent", 1943
"Hotel Berlin", 1945
"Oily Hare", 1952
"Giant", 1956
"The Last Picture Show", 1971
"Dancer, Texas Pop. 81", 1998
"Brewster McCloud", 1970
"Seven Days in May", 1964
"Lucky Me", 1954
"The Helen Morgan Story", 1957
"Helen of Troy", 1956
"Land of the Pharaohs", 1955
"Strange Lady in Town", 1955
"East of Eden", 1955
"Roger Corman: The Pope of Pop Cinema", 2021
"A Bucket of Blood", 1959
"The Little Shop of Horrors", 1960
"Teenage Doll", 1957
"Five Guns West", 1955
"The Beast with a Million Eyes", 1955
"The Beginning or the End", 1947
"Luxury Liner", 1948
"Father Takes a Wife", 1941
"Named to Die", 1941
"Tarzan's Hidden Jungle", 1955
"Carnival Day", 1936
"Godspell", 1973
"The Shoes of the Fisherman", 1968
"Northern Pursuit", 1943
"Kind Lady", 1951
"Some Like It Hot", 1959
"The Great Race", 1965
"T-Men", 1947
"Scandal: The Trial of Mary Astor", 2018
"The Prisoner of Zenda", 1937
"One Foot in Heaven", 1941
"Watership Down", 1978
"T-Men", 1947
"Ben-Hur", 1959
"The Silver Chalice", 1954
"The Miracle of Our Lady of Fatima", 1952
"Easter Parade", 1948
"King of Kings", 1961
"Battling Butler", 1926
"Blow-Up", 1966
"L'avventura", 1960
"Andy Hardy Gets Spring Fever", 1939
"Andy Hardy Meets Debutante", 1940
"Andy Hardy's Private Secretary", 1941
"Andy Hardy's Double Life", 1942
"Andy Hardy's Blonde Trouble", 1944
"Love Laughs at Andy Hardy", 1946
"Andy Hardy Comes Home", 1958
"Sophia Loren: Live from the TCM Classic Film Festival", 2016
"Two Women", 1960
"Legend of the Lost", 1957
"Operation Crossbow", 1965
"Brass Target", 1978
"William Wyler: Forty Takes Willy", 2024
"Boys' Night Out", 1962
"How Sweet It Is!", 1968
"Cash McCall", 1960
"The Americanization of Emily", 1964
"Up Periscope", 1959
"Darby's Rangers", 1958
"Marlowe", 1969
"National Velvet", 1944
"Meet Me in St. Louis", 1944
"Sounder", 1972
"Seven Brides for Seven Brothers", 1954
"The Kid", 1921
"Thirteen Women", 1932
"Decoy", 1946
"Impact", 1949
"Blonde Ice", 1948
"Tension", 1949
"Madeleine", 1950
"The Letter", 1940
"The Postman Always Rings Twice", 1946
"Born Yesterday", 1950
"Pat and Mike", 1952
"Travels with My Aunt", 1972
"The Women", 1939
"Dinner at Eight", 1933
"In the Money", 1958
"Postmark for Danger", 1955
"The Last of Mrs. Cheyney", 1937
"Calling Bulldog Drummond", 1951
"The Woman in Green", 1945
"Sabotage", 1936
"The Verdict", 1946
"Green for Danger", 1946
"Lured", 1947
"Lone Star", 1996
"No Country for Old Men", 2007
"Blood Simple", 1984
"Bonnie and Clyde", 1967
"The Getaway", 1972
"Destination Tokyo", 1943
"Dark Passage", 1947
"A Summer Place", 1959
"Susan Slade", 1961
"Rome Adventure", 1962
"Spencer's Mountain", 1963
"The Masque of the Red Death", 1964
"The Wild Angels", 1966
Gas! -Or- It Became Necessary to Destroy the World in Order to
"Bloody Mama", 1970
"Back from Eternity", 1956
"Romance on the High Seas", 1948
"'Til We Meet Again", 1940
"Ominous Warnings", 1941
"Tarzan and the Lost Safari", 1957
"Buried Loot", 1935
"Kismet", 1955
"This Happy Breed", 1944
